                                                                                     Links for political articles,                Links to find the articles,,
https://www.livemint.com/politics/news/bmc-allots-over-rs-500-crore-to-bjp-shinde-coalition-mlas-for-mumbai-development-none-to-opposition-report-11706677226961.html,https://www.livemint.com/politics/news,,
https://www.livemint.com/politics/news/ed-questions-tejashwi-yadav-for-over-eight-hours-in-land-for-jobs-scam-case-11706629493597.html,,,
https://www.livemint.com/politics/news/aap-moves-punjab-and-haryana-hc-seeks-fresh-polls-for-chandigarh-mayor-post-11706620665301.html,,,
https://www.livemint.com/politics/news/aaps-kuldeep-kumar-breaks-down-after-losing-chandigarh-mayors-post-bjp-manoj-sonkar-congress-watch-video-11706618496313.html,,,
https://www.livemint.com/politics/news/lok-sabha-polls-2024-samajwadi-party-names-16-candidates-akhilesh-yadavs-wife-dimple-yadav-to-fight-from-mainpuri-11706616222311.html,,,
https://www.livemint.com/politics/news/aapcongress-to-approach-court-after-invalid-votes-help-bjp-win-chandigarh-mayoral-polls-heres-what-happened-11706610553412.html,,,
https://www.livemint.com/politics/news/hemant-sorens-ed-probe-jharkhand-cm-takes-1-200-km-road-trip-to-ranchi-amid-missing-allegations-10-points-11706612770724.html,,,
https://www.livemint.com/politics/news/where-was-hemant-soren-jharkhand-cm-on-his-whereabouts-after-returning-home-in-ranchi-11706613458164.html,,,
https://www.livemint.com/politics/news/chandigarh-mayoral-polls-arvind-kejriwal-calls-it-cheating-in-broad-daylight-says-worried-for-lok-sabha-10-points-11706609384250.html,,,
https://www.livemint.com/politics/news/india-will-fight-we-dont-need-nitish-kumar-rahul-gandhi-in-bihar-mahagathbandhan-obc-caste-census-11706611534285.html,,,
https://www.livemint.com/politics/news/congress-india-bloc-aam-aadmi-party-samajwadi-party-tmc-nitish-kumar-mamata-banerjee-rahul-gandhi-general-elections-2024-11706599707251.html,,,
https://www.livemint.com/politics/news/hemant-soren-ed-probe-jharkhand-cm-arrives-in-ranchi-amid-missing-allegations-from-bjp-11706604164777.html,,,
https://www.livemint.com/politics/news/land-for-jobs-scam-lalu-prasad-yadav-rabri-devi-misha-bharti-pmla-court-bihar-rjd-jdu-politics-latest-news-11706583889593.html,,,
https://www.livemint.com/politics/news/lok-sabha-2024-mamata-banerjee-set-deadline-for-congress-to-seal-seat-sharing-but-tmc-abhishek-west-bengal-11706543672192.html,,,
https://www.livemint.com/politics/news/bjpjds-clash-with-congress-in-karnataka-as-row-over-removal-of-hanuman-flag-intensifies-11706534938656.html,,,
https://www.livemint.com/politics/news/foreign-secretary-kwatra-visits-bhutan-as-new-government-takes-office-11706536334173.html,,,
https://www.livemint.com/politics/news/this-is-wrong-delhi-cm-arvind-kejriwal-on-nitish-kumars-says-not-good-for-democracy-nda-bjp-rjd-bihar-cm-11706532663393.html,,,
https://www.livemint.com/politics/news/bjp-using-cbi-ed-to-threaten-people-to-get-votes-in-lok-sabha-polls-says-mamata-banerjee-11706519671142.html,,,
https://www.livemint.com/politics/news/uttarakhand-govt-to-get-ucc-committees-report-on-feb-2-assembly-session-on-5-feb-what-to-expect-11706524436475.html,,,
https://www.livemint.com/politics/news/bihar-politics-prashant-kishore-calls-nitish-kumar-sardar-of-palturams-predicts-jd-u-fate-in-2025-elections-11706437341779.html,,,
https://www.livemint.com/politics/news/nitish-kumar-may-take-oath-as-bihar-cm-on-sunday-with-bjp-support-report-11706256089148.html,,,
https://www.livemint.com/politics/news/cong-chief-mallikarjun-kharge-has-spoken-with-mamata-banerjee-today-we-will-find-a-way-forward-jairam-ramesh-11706192542175.html,,,
https://www.livemint.com/politics/news/lok-sabha-election-2024-bjp-invites-suggestions-public-youth-for-manifesto-indians-demand-gst-on-fuel-jobs-tax-slab-11706182714893.html,,,
https://www.livemint.com/politics/news/india-ally-nitish-kumar-to-return-to-nda-but-conditions-apply-report-11706177534815.html,,,
https://www.livemint.com/politics/news/lok-sabha-elections-2024-aam-aadmi-party-aap-congress-chandigarh-bjp-pm-modi-arvind-kejriwal-ashok-tanwar-11705728602300.html,,,
https://www.livemint.com/politics/news/uddhav-thackeray-faction-moves-sc-against-speakers-order-on-disqualify-plea-eknath-shinde-real-shiv-sena-11705314741776.html,,,
https://www.livemint.com/politics/news/why-pm-modi-in-a-hurry-to-inaugurate-ram-temple-congress-hits-out-at-bjp-for-not-listening-to-shankaracharyas-11704989145006.html,,,
https://www.livemint.com/politics/news/karanpur-bypoll-congresss-rupinder-beats-rajasthan-minister-surenderpal-shashi-tharoor-says-voters-don-t-like-11704709119544.html,,,
https://www.livemint.com/politics/news/aapcongress-seat-sharing-formula-arvind-kejriwal-3-delhi-seats-gujarat-goa-lok-sabha-polls-haryana-rahul-gandhi-11704792227217.html,,,
https://www.livemint.com/politics/news/ayodhya-ram-mandir-ceremony-i-will-never-allow-says-mamata-banerjee-west-bengal-cm-bjp-11704795301489.html,,,
https://www.livemint.com/politics/news/ram-mandir-latest-news-ayodhya-ram-mandir-22-january-kalyan-singh-bihar-news-pm-modi-india-lok-sabha-elections-11704703584407.html,,,
https://www.livemint.com/politics/news/this-is-india-s-moment-pm-modi-talks-about-his-management-style-says-the-final-destination-11704278458869.html,,,
https://economictimes.indiatimes.com/news/politics-and-nation/under-bjp-rule-30-farmers-forced-to-commit-suicide-every-day-rahul-gandhi/articleshow/107280467.cms,,,
https://economictimes.indiatimes.com/news/politics-and-nation/pm-modi-vows-to-be-back-in-power-and-deliver-full-budget-after-lok-sabha-elections/articleshow/107279179.cms,,,
https://economictimes.indiatimes.com/news/politics-and-nation/budget-session-from-today-oppn-mps-suspension-set-to-be-revoked/articleshow/107271584.cms,,,
https://economictimes.indiatimes.com/news/politics-and-nation/buzz-in-congress-circles-on-sonia-gandhi-taking-rs-route-to-parliament/articleshow/107271345.cms,,,
https://economictimes.indiatimes.com/news/politics-and-nation/land-for-jobs-case-after-prasad-ed-questions-son-tejashwi-yadav/articleshow/107271227.cms,,,
https://economictimes.indiatimes.com/news/politics-and-nation/chandigarh-mayor-election-bjp-wins-aap-congress-allege-vote-tampering-heres-all-you-need-to-know/videoshow/107269081.cms,,,
https://www.livemint.com/politics/news/bharat-nyay-yatra-rahul-gandhi-pm-modi-lok-sabha-elections-2024-mallikarjun-kharge-india-alliance-congress-bjp-11703782034767.html,,,
https://www.livemint.com/politics/news/rs-40-000-crore-scam-karnataka-bjp-mla-vows-to-expose-covid-corruption-charges-against-bs-yediyurappa-if-11703637411427.html,,,
https://www.livemint.com/politics/news/ram-mandir-is-bjp-s-show-off-says-kapil-sibal-saffron-party-s-behaviour-nowhere-close-to-rams-11703574444608.html,,,
https://www.livemint.com/politics/news/maharashtra-deputy-cm-ajit-pawar-no-alternative-to-pm-modi-in-country-lok-sabha-polls-2024-news-latest-11703488687338.html,,,
https://www.livemint.com/politics/news/no-negative-campaigning-ram-temple-how-bjp-is-strategising-a-stunning-victory-in-2024-ls-polls-10-things-to-know-11703394193915.html,,,
https://www.livemint.com/politics/news/2024-election-google-to-restrict-queries-from-bard-ai-based-search-11703033406851.html,,,
https://www.livemint.com/politics/news/madhya-pradesh-row-erupts-after-man-dressed-as-lord-hanuman-welcomes-cm-mohan-yadav-at-ujjain-event-11702897050820.html,,,
https://www.livemint.com/politics/news/smriti-irani-takes-jibe-at-arvind-kejriwal-says-he-sent-half-of-his-cabinet-to-jail-no-guarantee-on-11702833038078.html,,,
https://www.livemint.com/politics/news/parliament-security-breach-news-pm-modi-lok-sabha-winter-session-security-issues-concern-india-national-security-11702796504744.html,,,
https://www.livemint.com/politics/news/union-minister-kiren-rijiju-slams-congress-donate-for-desh-campaign-as-donate-for-dynasty-scheme-11702784054856.html,,,
https://www.livemint.com/politics/news/odisha-it-raids-prompt-political-slugfest-bjp-stages-protest-against-congress-mp-linked-to-biggest-cash-haul-11702118997864.html,,,
https://www.livemint.com/politics/news/bjp-receives-rs-719-cr-funding-in-fy-2022-23-donation-to-congress-reduces-to-rs-79-crore-election-commission-of-india-11701751580178.html,,,
https://www.livemint.com/politics/news/d-arrests-jharkhand-cm-hemant-soren-in-land-scam-case-champai-soren-to-be-next-chief-minister-all-you-need-to-know-11706708368396.html,,,
https://www.livemint.com/politics/news/bharat-jodo-nyay-yatra-rahul-gandhi-to-enter-odisha-on-february-6-11706711089046.html,,,
https://www.livemint.com/politics/news/bharat-jodo-nyay-yatra-faced-problems-in-assam-now-in-west-bengal-congress-rahul-gandhi-mamata-banerjee-tmc-11706260658284.html,,,
https://www.livemint.com/politics/news/aap-congress-seal-alliance-for-chandigarh-mayoral-polls-on-18-january-11705316446199.html,,,
https://www.livemint.com/politics/news/bjp-plans-nationwide-live-telecast-for-ram-mandir-consecration-11704522184802.html,,,
https://www.livemint.com/politics/news/dont-need-mamatas-pity-india-bloc-faces-fresh-hurdle-amid-congress-tmc-seat-sharing-row-in-west-bengal-11704372290005.html,,,
https://www.livemint.com/politics/news/lalan-singh-wanted-to-change-bihar-cm-bjps-jd-u-chief-nitish-kumar-tejashwi-yadav-sushil-modi-india-pm-modi-11703925986867.html,,,
https://www.livemint.com/politics/news/rs-40-000-crore-scam-karnataka-bjp-mla-vows-to-expose-covid-corruption-charges-against-bs-yediyurappa-if-11703637411427.html,,,
https://www.livemint.com/politics/mp-madhya-pradesh-cabinet-news-new-ministers-take-oath-chief-minister-mohan-yadav-11703497833077.html,,,
https://www.livemint.com/politics/news/may-this-festive-season-pm-narendra-modi-and-rahul-gandhi-extend-christmas-wishes-11703475600038.html,,,
https://www.livemint.com/politics/news/proposed-congress-president-mallikarjun-kharges-name-mamata-banerjee-on-pms-face-for-india-bloc-11703054017602.html,,,
https://www.livemint.com/politics/news/congress-organises-massive-rally-in-nagpur-10-lakh-people-expected-to-attend-event-on-december-28-11702634914717.html,,,
https://www.livemint.com/politics/news/amit-shah-targets-opposition-in-rajya-sabha-as-sc-upholds-abrogation-of-article-370-in-jk-11702303486291.html,,,
https://www.livemint.com/politics/news/sanjay-raut-invokes-uddhav-thackeray-s-name-for-india-bloc-s-pm-candidate-says-he-is-a-nationalist-face-11701856880134.html,,,
https://www.livemint.com/politics/news/bjp-winning-elections-in-gaumutra-states-dmk-mps-comments-dnv-senthilkumar-s-bjp-says-take-mental-treatment-11701779541455.html,,,
https://www.livemint.com/politics/news/congress-bharat-jodo-yatra-2-0-december-cannot-be-ruled-out-say-sources-11699362339835.html,,,
https://www.livemint.com/politics/news/dont-trigger-me-wait-and-watch-cm-ibrahim-warns-hd-deve-gowda-over-expulsion-from-jds-chief-post-11697763474355.html,,,
https://www.livemint.com/politics/news/congress-mla-sukhpal-singh-khaira-detained-by-punjab-police-in-connection-with-old-drug-case-11695878150766.html,,,
https://www.livemint.com/politics/news/bjp-cant-set-foot-here-aiadmk-and-bjp-snapping-ties-in-tamil-nadu-explained-11695039878282.html,,,
https://www.livemint.com/politics/news/pm-modi-cant-be-defeated-by-sheep-and-goats-cm-shinde-takes-a-sharp-jibe-at-the-opposition-11695009004880.html,,,
https://www.livemint.com/politics/news/rahul-gandhi-questions-telangana-cms-proximity-with-bjp-asks-why-no-ed-cbi-i-t-cases-against-him-11694961197396.html,,,
https://www.livemint.com/politics/news/become-a-sanatani-congress-leader-suggestion-to-pm-modi-on-his-birthday-11694928744792.html,,,
https://www.livemint.com/politics/news/india-has-hidden-agenda-to-end-sanatana-dharma-attack-indias-culture-pm-modi-11694681434175.html,,,
https://www.livemint.com/politics/news/bypoll-result-2023-udf-chandy-oommen-india-bloc-kerala-puthuppally-assembly-seat-bjp-nda-chennithala-cpm-11694159561882.html,,,
https://www.livemint.com/politics/news/prime-minister-of-bharat-sambit-patra-shares-invitation-of-pm-modis-indonesia-visit-amid-indias-name-change-rumour-11693960587333.html,,,
https://www.livemint.com/politics/news/no-rakhi-for-rahul-gandhi-congress-issues-clarification-as-bjp-scrutinises-wayanad-mps-wrist-11693755696360.html,,,
https://www.livemint.com/politics/news/congress-youth-president-says-will-gift-smriti-irani-gas-cylinder-she-carried-in-201314-11693241373957.html,,,
https://www.livemint.com/politics/news/ajit-pawar-dismisses-speculations-of-joining-sharad-pawar-says-nobody-permanent-friend-in-politics-11693187155302.html,,,
https://www.livemint.com/politics/news/nitish-kumar-is-a-worthy-of-pm-post-jd-u-leader-on-bihar-cm-contesting-lok-sabha-polls-2024-11693101776870.html,,,
https://www.livemint.com/politics/news/rss-defamation-case-rahul-gandhi-moves-bombay-hc-against-thane-court-order-11692680831960.html,,,
https://www.livemint.com/politics/news/prime-minister-narendra-modi-will-visit-south-africa-and-greece-next-week-11692370467632.html,,,
https://www.livemint.com/politics/news/bjp-released-the-bulls-akhilesh-yadav-accuses-cm-adityanath-tried-to-derail-samajwadi-party-event-in-fatehpur-11692367268152.html,,,
https://www.livemint.com/politics/news/congress-jairam-ramesh-brands-pm-modi-as-tsunami-of-lies-shares-article-labeling-him-as-fascist-11691908010154.html,,,
https://www.livemint.com/politics/news/rahul-gandhis-flying-kiss-in-parliament-was-a-gesture-of-love-and-affection-shiv-sena-ubt-mp-priyanka-chaturvedi-11691633454829.html,,,
https://www.livemint.com/politics/news/rahul-gandhi-congress-celebrates-as-lok-sabha-restores-wayanad-mp-membership-11691384375019.html,,,
https://www.livemint.com/politics/news/pm-modi-is-very-similar-to-indira-rajiv-gandhi-as-says-maharashtra-deputy-cm-ajit-pawar-11690953716663.html,,,
https://indianexpress.com/article/political-pulse/bjp-leaders-rahul-yatra-assam-ne-9136211/,,,
https://indianexpress.com/article/political-pulse/1991-places-of-worship-act-gyanvapi-mosque-case-9138210/,,,
https://indianexpress.com/article/political-pulse/nitish-rahul-tejashwi-rjd-jdu-india-9137465/,,,
https://indianexpress.com/article/opinion/columns/bjps-three-new-faces-chapter-social-justice-india-9066393/,,,
https://indianexpress.com/article/political-pulse/decode-politics-telangana-curious-case-missing-brs-government-files-9068154/,,,
https://indianexpress.com/article/political-pulse/1991-places-of-worship-act-gyanvapi-mosque-case-9138210/,,,
https://indianexpress.com/article/cities/ahmedabad/statues-of-pm-yogi-guard-a-rooftop-temple-against-demolition-in-bharuch-9135684/,,,https://www.deccanherald.com/india/west-bengal/ram-temple-inauguration-tmc-pits-political-might-against-bjp-with-all-faith-rally-in-bengal-on-jan-22-2858310
https://indianexpress.com/article/cities/chennai/irs-officer-nirmala-sitharaman-suspended-9136269/,,,
https://indianexpress.com/article/political-pulse/masih-as-bjp-messiah-meet-presiding-officer-at-centre-of-chandigarh-mayoral-tussle-9138062/,,,
https://indianexpress.com/article/political-pulse/decode-politics-tribals-naveen-patnaik-odisha-9136590/,,,
https://indianexpress.com/article/political-pulse/budget-nirmala-sitharaman-modi-jharkhand-new-cm-9137917/,,,
https://indianexpress.com/article/political-pulse/hemant-soren-arrest-jmm-central-agencies-scanner-since-2020-9137637/,,,
https://indianexpress.com/article/political-pulse/day-1-new-parliament-building-protests-excitement-tablets-8947744/,,,
https://indianexpress.com/article/india/nitish-kumar-reacts-rahul-gandhis-bihar-caste-survey-remark-9136475/,,,
https://indianexpress.com/article/india/rahul-gandhis-car-window-smashed-congress-security-lapse-charge-9137127/,,,
https://indianexpress.com/article/cities/kolkata/bharat-jodo-nyay-yatra-west-bengal-rahul-gandhi-glass-car-congress-9136448/,,,
https://indianexpress.com/article/political-pulse/2023-major-political-events-in-numbers-9086049/,,,
